osm_id,desc,geometry
460739953,Barrier; Wall,"list(c(-3.1660207, -3.1660079, -3.1660022, -3.1659632, -3.16612786767026, 55.9679547, 55.9679405, 55.9679343, 55.967891, 55.9678412443011), c(-3.1670044047282, -3.1670154, -3.167455, 55.9678267263524, 55.9678305, 55.9679881))"
488284803,Barrier; Wall,"c(-3.19880037845261, -3.198803, -3.1988408, -3.1988452, -3.1988486, -3.1988439, -3.1988339, -3.1988272, -3.1988231, -3.1988245, -3.1988282, -3.1988369, -3.1988449, -3.1988516, -3.1988684, -3.1988717, -3.1988717, -3.1988664, -3.1988583, -3.1988389, -3.1988147, -3.1988, -3.1987929, -3.1987444, 55.9650820025166, 55.9650494, 55.9648224, 55.9646979, 55.9644093, 55.96412, 55.9640768, 55.9640528, 55.9640355, 55.964016, 55.9640038, 55.963982, 55.9639651, 55.9639479, 55.9639118, 55.9638965, 55.9638773, 55.9638616, 
55.9638462, 55.9638274, 55.9638101, 55.9638015, 55.9637967, 55.9637957)"
515813025,Barrier; Wall,"c(-3.18933122380188, -3.1893767, 55.9601130573936, 55.9601121)"
515856896,Barrier; Wall,"c(-3.1870662, -3.18696006027096, 55.9605329, 55.9604153044703)"
660544808,Barrier; Wall,"c(-3.1924398, -3.1924193, -3.1923674, -3.1922114, -3.1918629, -3.1912544, -3.19049396026229, 55.9700008, 55.9699869, 55.9699526, 55.969845, 55.9696044, 55.9691939, 55.9686914215877)"
271503021,Barrier,"c(-3.194637, -3.1946324, -3.1946246, -3.1946139, -3.1946045, -3.1945975, -3.1945917, -3.1945881, -3.1945859, -3.1945856, -3.1945868, -3.1945901, -3.19459070597603, 55.961403, 55.9614044, 55.9614046, 55.9614034, 55.9614002, 55.9613961, 55.9613905, 55.9613847, 55.9613768, 55.9613673, 55.9613601, 55.9613536, 55.9613527177702)"
343741994,Barrier,"list(c(-3.1920129, -3.1921491, -3.1922662, -3.1922753, -3.1925045, -3.1928453, -3.1929015, -3.19306519185888, 55.9674153, 55.9673543, 55.9673574, 55.9673694, 55.9674159, 55.9674225, 55.9674234, 55.9674700268752), c(-3.19368660935417, -3.1937911, 55.9674683269734, 55.967467))"
343888575,Barrier,"list(c(-3.1938756, -3.19394316654464, 55.9674656, 55.9674676251553), c(-3.19439801115595, -3.1947684, -3.1951841, -3.1955571, 55.9674663809174, 55.9674534, 55.9673573, 55.9672192))"
437830430,Barrier,"c(-3.1654269, -3.1653684, -3.165429, -3.1650607, -3.1649453, -3.1648548, -3.1647704, -3.1646912, -3.1646574, -3.1646372, -3.1646171, -3.1645759, -3.164486, -3.1644712, -3.1643118, -3.1640014, -3.1636175, -3.16361049356913, 55.9626196, 55.9626353, 55.9627125, 55.9628111, 55.9628207, 55.9628081, 55.9628298, 55.962852, 55.9628108, 55.9627835, 55.9627452, 55.9626804, 55.9625089, 55.9624947, 55.9623422, 55.9620334, 55.9619756, 55.961974551751)"
437830433,Barrier,"c(-3.1636175, -3.16362553677965, 55.9619756, 55.9619588077331)"
